a,b,c,d,e,f,g
1,29.8,9.1,14.5,0.6,65.5,17.2
2,29.7,11.7,16.2,0,3,18.6
3,31.7,11.7,17.3,2.5,43,20.5
4,32.5,14.7,21.9,2.1,157.5,22.6
5,33.3,20.8,25.5,2.2,254,26.1
6,34.6,21,24.3,2.7,241.5,27.3
7,35.9,23.4,25.2,2.8,382.5,28.4
1,30.8,5.4,12.8,2.2,24.5,16.6
2,28.1,10.6,15.1,2.3,1.5,18.5
3,30.3,12.5,17.8,2.4,9.5,21.8
4,33.5,16.9,21.6,2.3,2,24.6
5,33.5,20.2,22.6,2.4,188,26.2
6,35.4,22.7,24.7,2.9,128.5,28
7,35.6,23.6,26.1,3.1,294,28.4
1,28.5,6.9,11.8,2.3,27.5,15.8
2,29.5,8.2,14.9,2.3,17.5,18.6
3,32.6,11,15.6,2.4,32,19.6
4,36.3,16.5,21.1,2.3,145,24.1
5,33.6,19.5,22.5,2.2,109.5,26
6,35.6,20.8,23.6,3,315,27.1
7,36.6,22.8,24.8,2.7,57,29.5
1,29.9,5,11.5,2.5,13.5,17
2,31.4,9.9,13.7,2.3,86,18
3,30.6,10.8,15.6,2.6,66.5,19.6
4,31.6,12,19.7,2.2,100.5,22.9
5,34,19.6,23.8,2.4,103.5,26.8
6,35.9,22.5,24.2,2.6,32,28
7,34,22.5,25.4,3.2,936.5,27.9
1,26.9,4.3,11.6,2.5,11.5,15.9
2,31.5,7.2,13.9,2.4,164,17.1
3,30.1,3.7,13.2,2.6,198.5,17.5
4,32.5,13.6,19.5,2.3,71.5,23.6
5,33.1,20.7,23.1,2.6,538,26.7
6,33.5,23.1,23.9,2.9,475,27.2
7,35.9,22.3,24.2,3.1,333.5,28.6
1,30.3,9.2,13.7,2.3,18.5,17.6
2,31,11.4,13.9,2.7,17.5,18.3
3,32.2,10.5,15.2,2.4,97.5,19.7
4,32.7,16.2,20.3,2.3,179,24
5,32.3,19.4,22.2,2.6,237.5,25.8
6,35,19.5,23.4,3,698,27
7,35.5,23.3,24.6,3.2,369,28.7
1,27.9,4.4,13.2,2.5,51.5,17
2,29.8,7,14.6,2.3,23.5,19.2
3,34.8,11.7,17.6,2.5,88,20.9
4,35.1,12.2,18.9,2.2,104.5,22.7
5,34.5,18.5,22.1,2.3,163.5,26
6,34.5,22.9,23.9,2.7,671,27.2
7,35.6,23,24.3,3.1,57,29.4
1,36.1,7.6,13,2.5,18,18.9
2,28.6,7.4,10.7,2.9,24.5,15.9
3,35.3,8.3,14.3,2.3,41,21.3
4,37,14.4,19.5,2.3,30,24.5
5,32.7,18.9,21.4,2.4,263.5,25.4
6,34.8,21.9,23.5,2.8,207,27.1
7,34.8,22.9,24.5,3.3,697,27.9
1,26.7,3.7,10.8,2.5,0,15
2,32.4,12.8,16.9,2.5,3.5,21.2
3,29.2,11.5,16.3,2.6,133.5,20
4,30.2,14.5,18.5,2.3,101.5,22.3
5,33.8,18.4,20.8,2.1,19,25.5
6,34.2,21.2,23.7,2.7,353,27.5
7,34.9,23.7,24.5,2.7,98.5,28.9
1,28.4,5.8,13.2,2.1,35,17
2,31.7,9.7,15.5,2.5,108,18.6
3,31.3,9.2,16.7,2.5,30,21
4,32.5,14.3,18.8,2.3,128,21.9
5,33.6,18.4,22.7,2.4,147.5,26.2
6,34.3,20.8,23.7,2.8,465.5,26.7
7,34.9,23.2,24.4,3.3,454,28.6
1,24.4,5.3,11.1,3,28.5,14.7
2,27.4,9.2,12.9,2.4,18,16.8
3,30.8,11.5,13.4,2.6,27.5,18
4,32,14.5,17.1,2.3,3.5,22.5
5,34.3,18.9,22.1,2.3,126,25.5
6,35.6,22.3,24.4,2.7,242,28.4
7,35.7,23.5,24.6,2.8,251.5,28.3
1,27.6,8.4,13.4,2,16,16.8
2,29.3,12.1,15.8,2.3,0.5,19.6
3,30.6,12.2,16.9,2.1,36.5,21.1
4,31.3,14.9,19.8,1.8,273,22.2
5,34.4,19.5,23.5,2,327,26.2
6,34.9,23.7,24.7,2.2,81,28.5
7,35.5,21.8,24.3,2.4,660,27.9
1,26.8,5.5,10.9,1.9,2.5,15.7
