a,b,,,,,,,,,,
1,17.2,,,,,,,,,,
2,18.6,,,,,,,,,,
3,20.5,,,,,,,,,,
4,22.6,,,,,,,,,,
5,26.1,,,,,,,,,,
6,27.3,,,,,,,,,,
7,28.4,,,,,,,,,,
1,16.6,,,,,,,,,,
2,18.5,,,,,,,,,,
3,21.8,,,,,,,,,,
4,24.6,,,,,,,,,,
5,26.2,,,,,,,,,,
6,28,,,,,,,,,,
7,28.4,,,,,,,,,,
1,15.8,,,,,,,,,,
2,18.6,,,,,,,,,,
3,19.6,,,,,,,,,,
4,24.1,,,,,,,,,,
5,26,,,,,,,,,,
6,27.1,,,,,,,,,,
7,29.5,,,,,,,,,,
1,17,,,,,,,,,,
2,18,,,,,,,,,,
3,19.6,,,,,,,,,,
4,22.9,,,,,,,,,,
5,26.8,,,,,,,,,,
6,28,,,,,,,,,,
7,27.9,,,,,,,,,,
1,15.9,,,,,,,,,,
2,17.1,,,,,,,,,,
3,17.5,,,,,,,,,,
4,23.6,,,,,,,,,,
5,26.7,,,,,,,,,,
6,27.2,,,,,,,,,,
7,28.6,,,,,,,,,,
1,17.6,,,,,,,,,,
2,18.3,,,,,,,,,,
3,19.7,,,,,,,,,,
4,24,,,,,,,,,,
5,25.8,,,,,,,,,,
6,27,,,,,,,,,,
7,28.7,,,,,,,,,,
1,17,,,,,,,,,,
2,19.2,,,,,,,,,,
3,20.9,,,,,,,,,,
4,22.7,,,,,,,,,,
5,26,,,,,,,,,,
6,27.2,,,,,,,,,,
7,29.4,,,,,,,,,,
1,18.9,,,,,,,,,,
2,15.9,,,,,,,,,,
3,21.3,,,,,,,,,,
4,24.5,,,,,,,,,,
5,25.4,,,,,,,,,,
6,27.1,,,,,,,,,,
7,27.9,,,,,,,,,,
1,15,,,,,,,,,,
2,21.2,,,,,,,,,,
3,20,,,,,,,,,,
4,22.3,,,,,,,,,,
5,25.5,,,,,,,,,,
6,27.5,,,,,,,,,,
7,28.9,,,,,,,,,,
1,17,,,,,,,,,,
2,18.6,,,,,,,,,,
3,21,,,,,,,,,,
4,21.9,,,,,,,,,,
5,26.2,,,,,,,,,,
6,26.7,,,,,,,,,,
7,28.6,,,,,,,,,,
1,14.7,,,,,,,,,,
2,16.8,,,,,,,,,,
3,18,,,,,,,,,,
4,22.5,,,,,,,,,,
5,25.5,,,,,,,,,,
6,28.4,,,,,,,,,,
7,28.3,,,,,,,,,,
1,16.8,,,,,,,,,,
2,19.6,,,,,,,,,,
3,21.1,,,,,,,,,,
4,22.2,,,,,,,,,,
5,26.2,,,,,,,,,,
6,28.5,,,,,,,,,,
7,27.9,,,,,,,,,,
1,15.7,,,,,,,,,,
2,16.9,,,,,,,,,,
3,19.9,,,,,,,,,,
4,23.8,,,,,,,,,,
5,25.6,,,,,,,,,,
6,28.3,,,,,,,,,,
7,29.8,,,,,,,,,,
1,16.6,,,,,,,,,,
2,18,,,,,,,,,,
3,20.7,,,,,,,,,,
4,24.6,,,,,,,,,,
5,26.8,,,,,,,,,,
6,29.3,,,,,,,,,,
7,29,,,,,,,,,,
1,16.9,,,,,,,,,,
2,16.4,,,,,,,,,,
3,18.3,,,,,,,,,,
4,24.8,,,,,,,,,,
5,27.3,,,,,,,,,,
6,28.4,,,,,,,,,,
7,29.4,,,,,,,,,,
1,18.5,,,,,,,,,,
2,17.2,,,,,,,,,,
3,20.1,,,,,,,,,,
4,22.5,,,,,,,,,,
5,26.7,,,,,,,,,,
6,27.8,,,,,,,,,,
7,28.5,,,,,,,,,,
1,17.1,,,,,,,,,,
2,16,,,,,,,,,,
3,20.5,,,,,,,,,,
4,24,,,,,,,,,,
5,28,,,,,,,,,,
6,28.4,,,,,,,,,,
7,28.6,,,,,,,,,,
1,18.9,,,,,,,,,,
2,20.4,,,,,,,,,,
3,20.8,,,,,,,,,,
4,24.2,,,,,,,,,,
5,24.9,,,,,,,,,,
6,27.6,,,,,,,,,,
7,28.9,,,,,,,,,,
1,17.5,,,,,,,,,,
2,18.5,,,,,,,,,,
3,21.8,,,,,,,,,,
4,21.7,,,,,,,,,,
5,27.1,,,,,,,,,,
6,28.8,,,,,,,,,,
7,29.4,,,,,,,,,,
